1, 0.50000, 0.50000, 0.50000 
2, 0.25000, 0.75000, 0.25000 
3, 0.75000, 0.25000, 0.75000 
4, 0.37500, 0.62500, 0.12500 
5, 0.87500, 0.12500, 0.62500 
6, 0.12500, 0.37500, 0.37500 
7, 0.62500, 0.87500, 0.87500 
8, 0.31250, 0.31250, 0.68750 
9, 0.81250, 0.81250, 0.18750 
10, 0.06250, 0.56250, 0.93750 
11, 0.56250, 0.06250, 0.43750 
12, 0.18750, 0.93750, 0.56250 
13, 0.68750, 0.43750, 0.06250 
14, 0.43750, 0.18750, 0.81250 
15, 0.93750, 0.68750, 0.31250 
16, 0.46875, 0.84375, 0.40625 
17, 0.96875, 0.34375, 0.90625 
18, 0.21875, 0.09375, 0.15625 
19, 0.71875, 0.59375, 0.65625 
20, 0.09375, 0.46875, 0.28125 
21, 0.59375, 0.96875, 0.78125 
22, 0.34375, 0.71875, 0.03125 
23, 0.84375, 0.21875, 0.53125 
24, 0.15625, 0.53125, 0.84375 
25, 0.65625, 0.03125, 0.34375 
26, 0.40625, 0.28125, 0.59375 
27, 0.90625, 0.78125, 0.09375 
28, 0.28125, 0.15625, 0.96875 
29, 0.78125, 0.65625, 0.46875 
30, 0.03125, 0.90625, 0.71875 
31, 0.53125, 0.40625, 0.21875 
32, 0.26562, 0.60938, 0.57812 
